component,eigenvalue
1,748.7235339416704
2,16.345781747205226
3,11.569585560885447
4,9.866071248395718
5,8.853043316033503
6,8.271314055260945
7,8.100430038228817
8,7.368056804618483
9,5.5862057494082515
10,5.328430302688304
11,4.132992886553777
12,4.063901842632006
13,3.921482238927627
14,3.866606380627181
15,3.844453399869199
16,3.692222259120453
17,3.4056152851653505
18,3.3458598953987955
19,3.3200284334107883
20,3.2650252691817134
21,3.0688973752688775
22,2.826363624394287
23,2.6954655245614387
24,2.6815548539838936
25,2.6288152894627035
26,2.5665283276859197
27,2.5326085056813774
28,2.474892167892641
29,2.471904631106926
30,2.467157366922436
31,2.326151144580357
32,2.200404503240116
33,2.166392828700147
34,2.115008568488
35,2.044497883644594
36,2.001225584473097
37,1.9517093293766012
38,1.9252194383152919
39,1.9075729677641926
40,1.8852495275293304
41,1.8830845128612785
42,1.8632703168351206
43,1.8597291168774748
44,1.8511198814431944
45,1.8030963888821943
46,1.7863546149934042
47,1.7701015116329117
48,1.731276478623689
49,1.7038396207760615
50,1.6762696108986683
51,1.640406879335048
52,1.6133454567969532
53,1.5991795909107955
54,1.5619417919598633
55,1.529257331638074
56,1.5143543815033604
57,1.480190207361411
58,1.4220310278861223
59,1.4033300586971507
60,1.3981064302548956
61,1.3524744038568879
62,1.3490545984382296
63,1.3451718902773104
64,1.3293987184431246
65,1.3129625706336947
66,1.3037657640515052
67,1.286864158276472
68,1.241612045764632
69,1.2399539498872518
70,1.2305132014509117
71,1.2212481349499305
72,1.2198244156679254
73,1.1749473053036192
74,1.1714895734414799
75,1.1499952892442686
76,1.1478625547288257
77,1.1436372957943823
78,1.0964078932766157
79,1.0962548313931968
80,1.0936348212043476
81,1.0799301034458733
82,1.0683358241161742
83,1.0362968564442432
84,1.035279796772755
85,1.0304130429813787
86,1.0292689226555611
87,1.02837164236647
88,1.0207441514742728
89,1.0197260288910464
90,1.0195290414684748
91,1.0192227883660292
92,1.018760482328494
93,1.017568697817861
94,1.0170889639843848
95,1.012265637976692
96,1.011827340932361
97,1.0117959788172628
98,1.0097392261451228
99,1.0090682149775552
100,1.0071695731924462
101,1.0050662123851104
102,1.0027880669663964
103,1.0027455364785958
104,1.0019213949372237
105,1.0018483753652896
106,1.0014908220464895
107,1.001475063653303
